

   TypeName: System.__ComObject#{39dd45da-2da8-46ba-8a8a-87e2b73d983a}

Name                           MemberType Definition                                                    
----                           ---------- ----------                                                    
Clone                          Method     ITuningSpace Clone ()                                         
CreateTuneRequest              Method     ITuneRequest CreateTuneRequest ()                             
CLSID                          Property   string CLSID () {get}                                         
CountryCode                    Property   int CountryCode () {get} {set}                                
DefaultLocator                 Property   ILocator DefaultLocator () {get} {set}                        
DefaultPreferredComponentTypes Property   IComponentTypes DefaultPreferredComponentTypes () {get} {set} 
FrequencyMapping               Property   string FrequencyMapping () {get} {set}                        
FriendlyName                   Property   string FriendlyName () {get} {set}                            
MaxFrequency                   Property   int MaxFrequency () {get} {set}                               
MinFrequency                   Property   int MinFrequency () {get} {set}                               
NetworkType                    Property   string NetworkType () {get} {set}                             
Step                           Property   int Step () {get} {set}                                       
UniqueName                     Property   string UniqueName () {get} {set}                              


