

   TypeName: System.__ComObject#{cdf7be60-d954-42fd-a972-78971958e470}

Name                           MemberType Definition                                                    
----                           ---------- ----------                                                    
Clone                          Method     ITuningSpace Clone ()                                         
CreateTuneRequest              Method     ITuneRequest CreateTuneRequest ()                             
CLSID                          Property   string CLSID () {get}                                         
DefaultLocator                 Property   ILocator DefaultLocator () {get} {set}                        
DefaultPreferredComponentTypes Property   IComponentTypes DefaultPreferredComponentTypes () {get} {set} 
FrequencyMapping               Property   string FrequencyMapping () {get} {set}                        
FriendlyName                   Property   string FriendlyName () {get} {set}                            
HighOscillator                 Property   int HighOscillator () {get} {set}                             
InputRange                     Property   string InputRange () {get} {set}                              
LNBSwitch                      Property   int LNBSwitch () {get} {set}                                  
LowOscillator                  Property   int LowOscillator () {get} {set}                              
NetworkID                      Property   int NetworkID () {get} {set}                                  
NetworkType                    Property   string NetworkType () {get} {set}                             
SpectralInversion              Property   SpectralInversion SpectralInversion () {get} {set}            
SystemType                     Property   DVBSystemType SystemType () {get} {set}                       
UniqueName                     Property   string UniqueName () {get} {set}                              


